Scale;Translation;Sentence_Score
SPAI;Azure;1.0
SPAI;Azure;0.954
SPAI;Azure;0.969
SPAI;Azure;0.984
SPAI;Azure;0.994
SPAI;Azure;0.936
SPAI;Azure;0.98
SPAI;Azure;1.0
SPAI;Azure;0.966
SPAI;Azure;0.989
SPAI;Azure;1.0
SPAI;Azure;0.995
SPAI;Azure;0.976
SPAI;Azure;1.0
SPAI;Azure;0.997
SPAI;Azure;1.0
SPAI;Azure;0.992
SPAI;Azure;0.934
SPAI;Azure;0.986
SPAI;Azure;0.951
SPAI;Azure;0.999
SPAI;Azure;1.0
SPAI;Azure;0.825
BIS-11;DeepL;1.0
BIS-11;DeepL;1.0
BIS-11;DeepL;0.958
BIS-11;DeepL;0.623
BIS-11;DeepL;1.0
BIS-11;DeepL;0.87
BIS-11;DeepL;1.0
BIS-11;DeepL;0.99
BIS-11;DeepL;0.999
BIS-11;DeepL;0.988
BIS-11;DeepL;0.938
BIS-11;DeepL;1.0
BIS-11;DeepL;0.977
BIS-11;DeepL;1.0
BIS-11;DeepL;1.0
BIS-11;DeepL;0.982
BIS-11;DeepL;0.979
BIS-11;DeepL;0.992
BIS-11;DeepL;0.885
BIS-11;DeepL;0.907
BIS-11;DeepL;0.919
BIS-11;DeepL;1.0
BIS-11;DeepL;1.0
BIS-11;DeepL;0.962
BIS-11;DeepL;0.828
BIS-11;DeepL;0.987
BIS-11;DeepL;1.0
BIS-11;DeepL;0.946
BIS-11;DeepL;0.986
BIS-11;DeepL;0.991
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;0.993
DII;DeepL;1.0
DII;DeepL;0.999
DII;DeepL;0.996
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;0.996
DII;DeepL;0.999
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;0.987
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;0.999
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;1.0
DII;DeepL;0.991
DII;DeepL;1.0
PSDQ;DeepL;0.995
PSDQ;DeepL;1.0
PSDQ;DeepL;0.992
PSDQ;DeepL;0.965
PSDQ;DeepL;0.986
PSDQ;DeepL;0.99
PSDQ;DeepL;0.992
PSDQ;DeepL;1.0
PSDQ;DeepL;0.979
PSDQ;DeepL;0.988
PSDQ;DeepL;1.0
PSDQ;DeepL;0.992
PSDQ;DeepL;0.994
PSDQ;DeepL;0.999
PSDQ;DeepL;0.914
PSDQ;DeepL;0.962
PSDQ;DeepL;0.965
PSDQ;DeepL;0.991
PSDQ;DeepL;0.982
PSDQ;DeepL;0.986
PSDQ;DeepL;0.991
PSDQ;DeepL;0.993
PSDQ;DeepL;0.994
PSDQ;DeepL;0.883
PSDQ;DeepL;0.994
PSDQ;DeepL;1.0
PSDQ;DeepL;0.972
PSDQ;DeepL;0.98
PSDQ;DeepL;0.993
PSDQ;DeepL;0.989
PSDQ;DeepL;0.998
PSDQ;DeepL;0.897
W-ADL;DeepL;0.948
W-ADL;DeepL;0.935
W-ADL;DeepL;0.956
W-ADL;DeepL;0.885
W-ADL;DeepL;0.913
W-ADL;DeepL;0.987
W-ADL;DeepL;0.933
W-ADL;DeepL;0.966
W-ADL;DeepL;0.974
W-ADL;DeepL;0.977
W-ADL;DeepL;0.936
W-ADL;DeepL;0.987
W-ADL;DeepL;0.929
W-ADL;DeepL;0.959
W-ADL;DeepL;0.987
W-ADL;DeepL;0.966
W-ADL;DeepL;0.761
SCOFF;DeepL;0.922
SCOFF;DeepL;0.978
SCOFF;DeepL;0.967
SCOFF;DeepL;0.993
SCOFF;DeepL;1.0
SPAI;DeepL;1.0
SPAI;DeepL;0.963
SPAI;DeepL;0.999
SPAI;DeepL;1.0
SPAI;DeepL;0.954
SPAI;DeepL;0.969
SPAI;DeepL;0.983
SPAI;DeepL;0.994
SPAI;DeepL;1.0
SPAI;DeepL;0.978
SPAI;DeepL;1.0
SPAI;DeepL;0.966
SPAI;DeepL;0.99
SPAI;DeepL;1.0
SPAI;DeepL;0.996
SPAI;DeepL;0.997
SPAI;DeepL;1.0
SPAI;DeepL;0.997
SPAI;DeepL;1.0
SPAI;DeepL;0.991
SPAI;DeepL;0.934
SPAI;DeepL;0.999
SPAI;DeepL;0.951
SPAI;DeepL;0.998
SPAI;DeepL;1.0
SPAI;DeepL;0.985
BIS-11;OpenAI;1.0
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.958
BIS-11;OpenAI;0.622
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.87
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.99
BIS-11;OpenAI;0.999
BIS-11;OpenAI;0.997
BIS-11;OpenAI;0.954
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.977
BIS-11;OpenAI;1.0
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.998
BIS-11;OpenAI;0.979
BIS-11;OpenAI;0.992
BIS-11;OpenAI;0.885
BIS-11;OpenAI;0.938
BIS-11;OpenAI;0.947
BIS-11;OpenAI;1.0
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.962
BIS-11;OpenAI;0.828
BIS-11;OpenAI;0.988
BIS-11;OpenAI;1.0
BIS-11;OpenAI;0.946
BIS-11;OpenAI;0.986
BIS-11;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;0.982
DII;OpenAI;1.0
DII;OpenAI;0.999
DII;OpenAI;0.999
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;0.985
DII;OpenAI;0.998
DII;OpenAI;0.999
DII;OpenAI;1.0
DII;OpenAI;0.999
DII;OpenAI;0.998
DII;OpenAI;1.0
DII;OpenAI;0.999
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;1.0
DII;OpenAI;1.0
PSDQ;OpenAI;0.98
PSDQ;OpenAI;0.996
PSDQ;OpenAI;0.994
PSDQ;OpenAI;0.956
PSDQ;OpenAI;0.967
PSDQ;OpenAI;0.977
PSDQ;OpenAI;0.96
PSDQ;OpenAI;1.0
PSDQ;OpenAI;0.969
PSDQ;OpenAI;0.969
PSDQ;OpenAI;1.0
PSDQ;OpenAI;0.987
PSDQ;OpenAI;0.989
PSDQ;OpenAI;0.994
PSDQ;OpenAI;0.899
PSDQ;OpenAI;0.932
PSDQ;OpenAI;0.96
PSDQ;OpenAI;0.991
PSDQ;OpenAI;0.969
PSDQ;OpenAI;0.965
PSDQ;OpenAI;0.991
PSDQ;OpenAI;0.983
PSDQ;OpenAI;0.958
PSDQ;OpenAI;0.936
PSDQ;OpenAI;0.986
PSDQ;OpenAI;1.0
PSDQ;OpenAI;0.973
PSDQ;OpenAI;0.97
PSDQ;OpenAI;0.971
PSDQ;OpenAI;0.986
PSDQ;OpenAI;0.99
PSDQ;OpenAI;0.964
W-ADL;OpenAI;0.948
W-ADL;OpenAI;0.94
W-ADL;OpenAI;0.948
W-ADL;OpenAI;0.926
W-ADL;OpenAI;0.846
W-ADL;OpenAI;0.985
W-ADL;OpenAI;0.949
W-ADL;OpenAI;0.966
W-ADL;OpenAI;0.974
W-ADL;OpenAI;0.988
W-ADL;OpenAI;0.93
W-ADL;OpenAI;0.988
W-ADL;OpenAI;0.941
W-ADL;OpenAI;0.959
W-ADL;OpenAI;0.987
W-ADL;OpenAI;0.949
W-ADL;OpenAI;0.845
SCOFF;OpenAI;0.932
SCOFF;OpenAI;0.971
SCOFF;OpenAI;0.981
SCOFF;OpenAI;0.986
SCOFF;OpenAI;1.0
SPAI;OpenAI;1.0
SPAI;OpenAI;0.903
SPAI;OpenAI;0.999
SPAI;OpenAI;1.0
SPAI;OpenAI;0.954
SPAI;OpenAI;0.979
SPAI;OpenAI;0.992
SPAI;OpenAI;0.996
SPAI;OpenAI;1.0
SPAI;OpenAI;0.965
SPAI;OpenAI;1.0
SPAI;OpenAI;0.966
SPAI;OpenAI;0.989
SPAI;OpenAI;1.0
SPAI;OpenAI;0.998
SPAI;OpenAI;0.997
SPAI;OpenAI;1.0
SPAI;OpenAI;0.997
SPAI;OpenAI;1.0
SPAI;OpenAI;0.992
SPAI;OpenAI;0.94
SPAI;OpenAI;0.984
SPAI;OpenAI;0.992
SPAI;OpenAI;0.999
SPAI;OpenAI;1.0
SPAI;OpenAI;0.987
BIS-11;WidnAI;1.0
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.958
BIS-11;WidnAI;0.228
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.874
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.99
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.97
BIS-11;WidnAI;0.852
BIS-11;WidnAI;0.977
BIS-11;WidnAI;0.931
BIS-11;WidnAI;1.0
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.998
BIS-11;WidnAI;0.979
BIS-11;WidnAI;0.992
BIS-11;WidnAI;0.885
BIS-11;WidnAI;0.944
BIS-11;WidnAI;0.951
BIS-11;WidnAI;1.0
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.981
BIS-11;WidnAI;0.82
BIS-11;WidnAI;0.982
BIS-11;WidnAI;1.0
BIS-11;WidnAI;0.946
BIS-11;WidnAI;0.986
BIS-11;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;0.993
DII;WidnAI;1.0
DII;WidnAI;0.999
DII;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;0.996
DII;WidnAI;0.999
DII;WidnAI;0.999
DII;WidnAI;1.0
DII;WidnAI;0.999
DII;WidnAI;0.998
DII;WidnAI;1.0
DII;WidnAI;0.998
DII;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;1.0
DII;WidnAI;0.997
DII;WidnAI;1.0
DII;WidnAI;1.0
PSDQ;WidnAI;0.995
PSDQ;WidnAI;1.0
PSDQ;WidnAI;0.99
PSDQ;WidnAI;0.958
PSDQ;WidnAI;0.986
PSDQ;WidnAI;0.982
PSDQ;WidnAI;0.975
PSDQ;WidnAI;1.0
PSDQ;WidnAI;0.974
PSDQ;WidnAI;0.988
PSDQ;WidnAI;1.0
PSDQ;WidnAI;0.989
PSDQ;WidnAI;0.994
PSDQ;WidnAI;0.992
PSDQ;WidnAI;0.912
PSDQ;WidnAI;0.948
PSDQ;WidnAI;0.958
PSDQ;WidnAI;0.991
PSDQ;WidnAI;0.967
PSDQ;WidnAI;0.97
PSDQ;WidnAI;0.989
PSDQ;WidnAI;0.987
PSDQ;WidnAI;0.985
PSDQ;WidnAI;0.929
PSDQ;WidnAI;0.994
PSDQ;WidnAI;1.0
PSDQ;WidnAI;0.972
PSDQ;WidnAI;0.98
PSDQ;WidnAI;0.993
PSDQ;WidnAI;0.989
PSDQ;WidnAI;0.998
PSDQ;WidnAI;0.991
W-ADL;WidnAI;0.948
W-ADL;WidnAI;0.927
W-ADL;WidnAI;0.948
W-ADL;WidnAI;0.88
W-ADL;WidnAI;0.702
W-ADL;WidnAI;0.985
W-ADL;WidnAI;0.938
W-ADL;WidnAI;0.966
W-ADL;WidnAI;0.974
W-ADL;WidnAI;0.993
W-ADL;WidnAI;0.929
W-ADL;WidnAI;0.987
W-ADL;WidnAI;0.911
W-ADL;WidnAI;0.959
W-ADL;WidnAI;0.991
W-ADL;WidnAI;0.966
W-ADL;WidnAI;0.806
SCOFF;WidnAI;0.931
SCOFF;WidnAI;0.979
SCOFF;WidnAI;0.967
SCOFF;WidnAI;0.991
SCOFF;WidnAI;1.0
SPAI;WidnAI;1.0
SPAI;WidnAI;0.963
SPAI;WidnAI;0.999
SPAI;WidnAI;1.0
SPAI;WidnAI;0.954
SPAI;WidnAI;0.98
SPAI;WidnAI;0.982
SPAI;WidnAI;0.994
SPAI;WidnAI;1.0
SPAI;WidnAI;0.965
SPAI;WidnAI;1.0
SPAI;WidnAI;0.966
SPAI;WidnAI;0.981
SPAI;WidnAI;1.0
SPAI;WidnAI;0.997
SPAI;WidnAI;0.997
SPAI;WidnAI;1.0
SPAI;WidnAI;0.997
SPAI;WidnAI;1.0
SPAI;WidnAI;0.991
SPAI;WidnAI;0.941
SPAI;WidnAI;0.984
SPAI;WidnAI;0.968
SPAI;WidnAI;0.998
SPAI;WidnAI;0.999
SPAI;WidnAI;0.984
BIS-11;Human;1.0
BIS-11;Human;1.0
BIS-11;Human;0.958
BIS-11;Human;0.632
BIS-11;Human;1.0
BIS-11;Human;0.884
BIS-11;Human;1.0
BIS-11;Human;0.99
BIS-11;Human;0.991
BIS-11;Human;0.988
BIS-11;Human;0.954
BIS-11;Human;0.977
BIS-11;Human;0.973
BIS-11;Human;1.0
BIS-11;Human;1.0
BIS-11;Human;0.998
BIS-11;Human;0.979
BIS-11;Human;0.991
BIS-11;Human;0.894
BIS-11;Human;0.939
BIS-11;Human;0.964
BIS-11;Human;1.0
BIS-11;Human;1.0
BIS-11;Human;0.97
BIS-11;Human;0.908
BIS-11;Human;0.957
BIS-11;Human;1.0
BIS-11;Human;0.978
BIS-11;Human;0.99
BIS-11;Human;0.991
DII;Human;1.0
DII;Human;0.991
DII;Human;0.988
DII;Human;1.0
DII;Human;0.99
DII;Human;0.998
DII;Human;1.0
DII;Human;1.0
DII;Human;1.0
DII;Human;0.985
DII;Human;0.998
DII;Human;1.0
DII;Human;1.0
DII;Human;0.999
DII;Human;0.967
DII;Human;1.0
DII;Human;0.999
DII;Human;0.985
DII;Human;1.0
DII;Human;1.0
DII;Human;1.0
DII;Human;1.0
DII;Human;1.0
PSDQ;Human;0.999
PSDQ;Human;1.0
PSDQ;Human;0.994
PSDQ;Human;0.972
PSDQ;Human;0.99
PSDQ;Human;0.991
PSDQ;Human;0.993
PSDQ;Human;1.0
PSDQ;Human;0.977
PSDQ;Human;0.987
PSDQ;Human;1.0
PSDQ;Human;0.992
PSDQ;Human;0.997
PSDQ;Human;1.0
PSDQ;Human;0.906
PSDQ;Human;0.962
PSDQ;Human;0.965
PSDQ;Human;0.996
PSDQ;Human;0.971
PSDQ;Human;0.987
PSDQ;Human;0.99
PSDQ;Human;0.986
PSDQ;Human;0.99
PSDQ;Human;0.941
PSDQ;Human;0.994
PSDQ;Human;1.0
PSDQ;Human;0.991
PSDQ;Human;0.966
PSDQ;Human;0.994
PSDQ;Human;0.993
PSDQ;Human;0.999
PSDQ;Human;0.952
W-ADL;Human;0.963
W-ADL;Human;0.927
W-ADL;Human;0.929
W-ADL;Human;0.932
W-ADL;Human;0.919
W-ADL;Human;0.922
W-ADL;Human;0.933
W-ADL;Human;0.87
W-ADL;Human;0.957
W-ADL;Human;0.975
W-ADL;Human;0.93
W-ADL;Human;0.979
W-ADL;Human;0.913
W-ADL;Human;0.959
W-ADL;Human;0.987
W-ADL;Human;0.949
W-ADL;Human;0.811
SCOFF;Human;0.854
SCOFF;Human;0.979
SCOFF;Human;0.964
SCOFF;Human;0.993
SCOFF;Human;1.0
SPAI;Human;1.0
SPAI;Human;0.903
SPAI;Human;0.999
SPAI;Human;1.0
SPAI;Human;0.949
SPAI;Human;0.98
SPAI;Human;0.993
SPAI;Human;0.994
SPAI;Human;1.0
SPAI;Human;0.977
SPAI;Human;1.0
SPAI;Human;0.966
SPAI;Human;0.982
SPAI;Human;1.0
SPAI;Human;0.995
SPAI;Human;1.0
SPAI;Human;1.0
SPAI;Human;0.997
SPAI;Human;1.0
SPAI;Human;0.991
SPAI;Human;0.928
SPAI;Human;0.982
SPAI;Human;0.987
SPAI;Human;0.999
SPAI;Human;1.0
SPAI;Human;0.988
